Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
96 Beacon St #PH,42.355538,-71.072551,0,0,0,0,1,0,11200000,3600000,Condominium,1900,2,2014
41 Temple St,42.273514,-71.072469,0,0,0,0,0,0,11092500,14422000,Single-Family,1925,4,2017
1 Dalton St #3901,42.345267,-71.084125,0,0,0,0,1,0,11065000,930000,Condominium,2015,2,2019
119 Berkeley St,42.348293,-71.071509,0,0,0,0,1,0,11050000,0,Apartment,1899,1,2018
23 Cortes St,42.34836,-71.069907,0,0,0,0,1,0,11000000,0,Condominium,1900,1,2005
61 Temple St,42.274026,-71.072639,0,0,0,0,0,0,10997500,14413000,Single-Family,1900,4,2012
7 Mount Vernon Pl #7,42.358056,-71.064904,0,0,0,0,0,0,10975000,8350000,Condominium,2016,2,2021
1 Dalton St #5402,42.345267,-71.084125,0,0,0,0,1,0,10950000,0,Condominium,2015,1,2019
2 Elm Hill Park,42.31304,-71.083546,0,0,0,0,0,0,10730000,0,Three-Family,1900,1,2017
548 Warren St,42.313037,-71.083362,0,0,0,0,0,0,10730000,0,Three-Family,1905,1,2017
550 Warren St,42.31299,-71.083343,0,0,0,0,0,0,10730000,0,Three-Family,1920,1,2017
1 Dalton St #5302,42.345267,-71.084125,0,0,0,0,1,0,10700000,0,Condominium,2015,1,2019
1 Dalton St #3801,42.345267,-71.084125,0,0,0,0,1,0,10650000,0,Condominium,2015,1,2020
1 Dalton St #4201,42.345267,-71.084125,0,0,0,0,1,0,10625000,0,Condominium,2015,1,2020
140-188 Newton St,42.356176,-71.167708,0,0,0,0,0,0,10575000,0,Apartment,1960,1,2004
66 Beacon St,42.254449,-71.114874,0,0,0,0,0,0,10569000,19762000,Single-Family,1860,2,2013
130 Commonwealth Ave,42.351717,-71.077546,0,0,0,0,1,0,10550000,2100000,Single-Family,1899,2,2015
30 Chestnut St,42.357413,-71.067683,0,0,0,0,0,0,10525000,7450000,Three-Family,1890,2,2020
101 Norfolk St,42.288548,-71.07596,0,0,0,0,0,0,10500000,0,Three-Family,1899,1,2016
103 Norfolk St,42.288497,-71.076077,0,0,0,0,0,0,10500000,0,Three-Family,1900,1,2016
129-131 Intervale St,42.309813,-71.075869,0,0,0,0,0,0,10500000,0,Apartment,1920,1,2016
2 Commonwealth Ave #11C,42.353438,-71.071446,0,0,0,0,1,0,10500000,0,Condominium,1982,1,2020
2 Commonwealth Ave #11D,42.353438,-71.071446,0,0,0,0,1,0,10500000,0,Condominium,1982,1,2020
